500

ITN.           PE                KE                  TE                    TEMP
[192.]     [128.9012837]   [26825.50206857]   [26954.40335227]   [17883.66804571]
[193.]     [129.75359275]   [40207.53130128]   [40337.28489403]   [26805.02086752]
[194.]     [131.29666204]   [26917.30954112]   [27048.60620316]   [17944.87302741]
[195.]     [133.02414438]   [53475.01138053]   [53608.03552491]   [35650.00758702]
[196.]     [133.83361403]   [40115.89716688]   [40249.73078091]   [26743.93144458]
[197.]     [134.0888561]   [13419.62497452]   [13553.71383062]   [8946.41664968]
[198.]     [134.26970574]   [26836.38553338]   [26970.65523912]   [17890.92368892]
[199.]     [134.08039325]   [40243.7336444]   [40377.81403764]   [26829.15576293]
[200.]     [134.65531535]   [53571.34124844]   [53705.99656379]   [35714.22749896]
[201.]     [135.44833935]   [40213.1673229]   [40348.61566225]   [26808.77821527]
[202.]     [135.43551067]   [26778.35249163]   [26913.7880023]   [17852.23499442]
[203.]     [134.52437632]   [80180.60382574]   [80315.12820206]   [53453.73588382]
[204.]     [133.20145059]   [80075.46278321]   [80208.66423379]   [53383.64185547]
[205.]     [132.34260784]   [53300.74717222]   [53433.08978006]   [35533.83144815]
[206.]     [132.50490572]   [66789.9817233]   [66922.48662902]   [44526.6544822]
[207.]     [133.01979139]   [53602.21615635]   [53735.23594773]   [35734.8107709]
[208.]     [132.64573879]   [53519.30575432]   [53651.95149311]   [35679.53716955]
[209.]     [132.07005304]   [40202.74699993]   [40334.81705298]   [26801.83133329]
[210.]     [133.03459903]   [26978.32751043]   [27111.36210946]   [17985.55167362]
[211.]     [134.97178854]   [26963.13717968]   [27098.10896822]   [17975.42478645]
[212.]     [136.02993389]   [26932.43277251]   [27068.4627064]   [17954.95518167]
[213.]     [136.04908203]   [93429.67539757]   [93565.7244796]   [62286.45026505]
[214.]     [136.20401558]   [93536.94932535]   [93673.15334093]   [62357.9662169]
[215.]     [136.80534587]   [53661.53001838]   [53798.33536424]   [35774.35334558]
[216.]     [137.32010746]   [40270.27912498]   [40407.59923245]   [26846.85274999]
[217.]     [137.68991201]   [40210.85040797]   [40348.54031998]   [26807.23360531]
[218.]     [138.24555681]   [53576.57264191]   [53714.81819872]   [35717.71509461]
[219.]     [138.7921644]   [53506.13601661]   [53644.92818101]   [35670.75734441]
[220.]     [138.85674654]   [80011.80225137]   [80150.65899791]   [53341.20150091]
[221.]     [138.34754903]   [40017.95299559]   [40156.30054462]   [26678.63533039]
[222.]     [137.63297333]   [40238.53630766]   [40376.169281]   [26825.69087178]
[223.]     [137.42762708]   [53518.24629253]   [53655.67391962]   [35678.83086169]
[224.]     [138.69265381]   [66902.48725142]   [67041.17990524]   [44601.65816762]
[225.]     [142.06636198]   [66912.70814223]   [67054.77450421]   [44608.47209482]
[226.]     [146.63481618]   [26810.26596211]   [26956.90077829]   [17873.51064141]
[227.]     [150.00516641]   [26855.07474823]   [27005.07991464]   [17903.38316549]
[228.]     [150.65587468]   [80446.38221305]   [80597.03808773]   [53630.92147536]
[229.]     [149.37750146]   [93862.77805954]   [94012.155561]   [62575.18537303]
[230.]     [147.22871432]   [40293.26923477]   [40440.4979491]   [26862.17948985]
[231.]     [144.20842435]   [26939.74918167]   [27083.95760603]   [17959.83278778]
[232.]     [139.88534222]   [66865.61782162]   [67005.50316384]   [44577.07854774]
[233.]     [136.07725796]   [53365.78045272]   [53501.85771069]   [35577.18696848]
[234.]     [134.39566039]   [26866.04637445]   [27000.44203484]   [17910.69758297]
[235.]     [134.2329208]   [26871.06888004]   [27005.30180084]   [17914.04592003]
[236.]     [134.14149417]   [174.5030711]   [308.64456526]   [116.33538073]
[237.]     [133.29287745]   [26983.32653188]   [27116.61940933]   [17988.88435458]
[238.]     [132.03919681]   [40308.6745141]   [40440.71371091]   [26872.44967606]
[239.]     [131.68444201]   [13510.16978696]   [13641.85422897]   [9006.77985798]
[240.]     [133.10538138]   [13503.49853069]   [13636.60391207]   [9002.33235379]
[241.]     [135.17903175]   [26913.20366368]   [27048.38269543]   [17942.13577579]
[242.]     [136.29706055]   [26925.38769087]   [27061.68475142]   [17950.25846058]
[243.]     [135.88914348]   [13535.30224102]   [13671.1913845]   [9023.53482734]
[244.]     [134.55914343]   [53412.27972113]   [53546.83886456]   [35608.18648075]
[245.]     [133.05314811]   [93418.00621928]   [93551.05936739]   [62278.67081285]
[246.]     [131.92300118]   [106919.75540072]   [107051.6784019]   [71279.83693382]
[247.]     [131.80768775]   [93461.77111594]   [93593.57880369]   [62307.84741063]
[248.]     [132.73636364]   [66801.13522333]   [66933.87158697]   [44534.09014888]
[249.]     [134.2298212]   [67009.31987806]   [67143.54969926]   [44672.87991871]
[250.]     [135.93802123]   [40267.60082577]   [40403.538847]   [26845.06721718]
[251.]     [137.64345916]   [26787.09569056]   [26924.73914972]   [17858.06379371]
[252.]     [139.14581329]   [53635.19253315]   [53774.33834644]   [35756.7950221]
[253.]     [140.290193]   [53769.39672515]   [53909.68691815]   [35846.26448343]
[254.]     [141.08881185]   [26969.0602001]   [27110.14901195]   [17979.37346673]
[255.]     [141.20693416]   [40385.62513615]   [40526.83207031]   [26923.75009077]
[256.]     [140.45491304]   [53627.84752249]   [53768.30243553]   [35751.89834832]
[257.]     [139.4839779]   [40196.85079734]   [40336.33477524]   [26797.90053156]
[258.]     [138.00458101]   [40359.44602655]   [40497.45060757]   [26906.29735104]
[259.]     [135.55685952]   [26981.61306015]   [27117.16991967]   [17987.7420401]
[260.]     [132.58063174]   [26664.74888673]   [26797.32951847]   [17776.49925782]
[261.]     [130.25683992]   [53167.93895506]   [53298.19579498]   [35445.29263671]
[262.]     [129.39566071]   [40069.68233698]   [40199.07799768]   [26713.12155798]
[263.]     [129.91407976]   [26872.16528085]   [27002.07936061]   [17914.7768539]
[264.]     [131.52031598]   [26909.4883471]   [27041.00866308]   [17939.65889807]
[265.]     [133.40880548]   [13567.12926345]   [13700.53806893]   [9044.7528423]
[266.]     [134.21875862]   [174.53759553]   [308.75635416]   [116.35839702]
[267.]     [132.34147918]   [40163.30724347]   [40295.64872265]   [26775.53816231]
[268.]     [130.08141091]   [53498.69867054]   [53628.78008145]   [35665.79911369]
[269.]     [129.36582955]   [66884.16395201]   [67013.52978156]   [44589.44263467]
[270.]     [129.5722104]   [80312.68329976]   [80442.25551016]   [53541.7888665]
[271.]     [130.70769046]   [53444.91990829]   [53575.62759875]   [35629.94660552]
[272.]     [132.44887582]   [39950.87386999]   [40083.3227458]   [26633.91591332]
[273.]     [133.81500836]   [53562.38714828]   [53696.20215664]   [35708.25809885]
[274.]     [134.12805827]   [53613.92568712]   [53748.05374539]   [35742.61712475]
[275.]     [133.65894376]   [40195.91429683]   [40329.57324059]   [26797.27619789]
[276.]     [133.70629175]   [66880.39290709]   [67014.09919884]   [44586.92860473]
[277.]     [135.17319123]   [53578.55140912]   [53713.72460034]   [35719.03427274]
[278.]     [137.22703294]   [26976.55098202]   [27113.77801496]   [17984.36732135]
[279.]     [138.48331564]   [40171.98823753]   [40310.47155317]   [26781.32549169]
[280.]     [139.32033788]   [40091.18562434]   [40230.50596222]   [26727.45708289]
[281.]     [140.6880475]   [26881.73014376]   [27022.41819126]   [17921.15342917]
[282.]     [142.47858139]   [53605.43408712]   [53747.9126685]   [35736.95605808]
[283.]     [143.8027372]   [53495.24302855]   [53639.04576576]   [35663.49535237]
[284.]     [144.09824335]   [40223.39716177]   [40367.49540511]   [26815.59810785]
[285.]     [143.13100864]   [93824.52681972]   [93967.65782837]   [62549.68454648]
[286.]     [140.98905031]   [120493.91758854]   [120634.90663884]   [80329.27839236]
[287.]     [138.9505233]   [67097.58084494]   [67236.53136824]   [44731.72056329]
[288.]     [138.10284381]   [13596.6105949]   [13734.71343872]   [9064.40706327]
[289.]     [138.6537812]   [27022.81645071]   [27161.47023191]   [18015.21096714]
[290.]     [139.78652112]   [53748.19145072]   [53887.97797184]   [35832.12763381]
[291.]     [140.25033498]   [66839.55668261]   [66979.80701759]   [44559.70445507]
[292.]     [139.53335561]   [120272.98057414]   [120412.51392975]   [80181.98704943]
[293.]     [137.25589095]   [106957.73315385]   [107094.9890448]   [71305.1554359]
[294.]     [134.05196004]   [40102.67885692]   [40236.73081696]   [26735.11923795]
[295.]     [131.68985823]   [53469.00671519]   [53600.69657342]   [35646.00447679]
[296.]     [130.91134836]   [53484.52325937]   [53615.43460773]   [35656.34883958]
[297.]     [131.97372888]   [26942.58039115]   [27074.55412003]   [17961.72026077]
[298.]     [134.58539986]   [26953.46232716]   [27088.04772702]   [17968.97488477]
[299.]     [137.74495356]   [40326.09084239]   [40463.83579595]   [26884.06056159]
[300.]     [140.74830765]   [80414.52546219]   [80555.27376985]   [53609.68364146]
[301.]     [142.94370077]   [107058.80340344]   [107201.74710421]   [71372.53560229]
[302.]     [143.17299272]   [133707.58607369]   [133850.75906641]   [89138.3907158]
[303.]     [140.91137476]   [93795.13392207]   [93936.04529683]   [62530.08928138]
[304.]     [138.09453532]   [40222.69612019]   [40360.79065551]   [26815.1307468]
[305.]     [137.29706879]   [26814.34472883]   [26951.64179762]   [17876.22981922]
[306.]     [138.25097432]   [40314.37652405]   [40452.62749837]   [26876.25101603]
[307.]     [139.10833907]   [53618.42759635]   [53757.53593542]   [35745.61839756]
[308.]     [138.93380553]   [53583.04052512]   [53721.97433065]   [35722.02701675]
[309.]     [138.23033624]   [80411.61439091]   [80549.84472716]   [53607.74292728]
[310.]     [137.43369021]   [67030.08985043]   [67167.52354064]   [44686.72656695]
[311.]     [136.13194471]   [66910.29038534]   [67046.42233005]   [44606.86025689]
[312.]     [134.63966641]   [40190.67890983]   [40325.31857623]   [26793.78593989]
[313.]     [133.73787521]   [26791.93317055]   [26925.67104576]   [17861.28878037]
[314.]     [133.74300688]   [66865.36135133]   [66999.10435821]   [44576.90756755]
[315.]     [134.59069321]   [120239.41635885]   [120374.00705205]   [80159.6109059]
[316.]     [135.72773563]   [106847.71342597]   [106983.44116159]   [71231.80895064]
[317.]     [136.78052706]   [26796.14069645]   [26932.92122351]   [17864.09379763]
[318.]     [138.02845149]   [26859.43984376]   [26997.46829525]   [17906.29322917]
[319.]     [139.27939868]   [53536.98798183]   [53676.2673805]   [35691.32532122]
[320.]     [139.94084575]   [80291.67641629]   [80431.61726204]   [53527.78427753]
[321.]     [139.79826615]   [93683.72991623]   [93823.52818238]   [62455.81994415]
[322.]     [138.87405367]   [93658.98522783]   [93797.8592815]   [62439.32348522]
[323.]     [137.52476401]   [66991.80181452]   [67129.32657853]   [44661.20120968]
[324.]     [135.95594044]   [53738.88703581]   [53874.84297625]   [35825.92469054]
[325.]     [134.04669498]   [53690.79529865]   [53824.84199363]   [35793.86353244]
[326.]     [132.3098336]   [53698.26756383]   [53830.57739742]   [35798.84504255]
[327.]     [131.41204162]   [93753.77374298]   [93885.1857846]   [62502.51582866]
[328.]     [131.55625697]   [53570.76898297]   [53702.32523994]   [35713.84598865]
[329.]     [133.1767875]   [40052.39209005]   [40185.56887755]   [26701.5947267]
[330.]     [136.33752119]   [66687.89125457]   [66824.22877577]   [44458.59416971]
[331.]     [139.78884437]   [40216.69125862]   [40356.48010299]   [26811.12750574]
[332.]     [141.61312618]   [40300.46925599]   [40442.08238217]   [26866.979504]
[333.]     [141.52182401]   [40286.81053345]   [40428.33235746]   [26857.87368896]
[334.]     [141.01609281]   [13570.23222853]   [13711.24832134]   [9046.82148569]
[335.]     [140.36504946]   [13572.47074284]   [13712.8357923]   [9048.31382856]
[336.]     [138.42256404]   [26924.93524231]   [27063.35780635]   [17949.95682821]
[337.]     [135.75280051]   [53618.05058228]   [53753.80338279]   [35745.36705485]
[338.]     [134.18757054]   [53618.27768185]   [53752.46525239]   [35745.51845457]
[339.]     [134.82935364]   [26918.83419157]   [27053.66354521]   [17945.88946105]
[340.]     [136.82924385]   [53609.50702016]   [53746.33626402]   [35739.67134678]
[341.]     [138.3034648]   [40277.69006336]   [40415.99352816]   [26851.79337557]
[342.]     [138.65384271]   [169.9710952]   [308.6249379]   [113.31406346]
[343.]     [138.27371745]   [26842.96899547]   [26981.24271292]   [17895.31266365]
[344.]     [137.48250538]   [53603.79921489]   [53741.28172027]   [35735.86614326]
[345.]     [136.61677616]   [53596.77392847]   [53733.39070463]   [35731.18261898]
[346.]     [136.25843963]   [26882.05759145]   [27018.31603108]   [17921.37172764]
[347.]     [136.22277231]   [26920.85020881]   [27057.07298112]   [17947.23347254]
[348.]     [136.44500846]   [53505.41773533]   [53641.86274379]   [35670.27849022]
[349.]     [137.02728928]   [26823.06538666]   [26960.09267594]   [17882.04359111]
[350.]     [137.05172929]   [40366.33298498]   [40503.38471427]   [26910.88865665]
